,yDistance,xDistance,theta,width,height,centerX,centerY,aspectRatio,heightRatio,yDiff
0,40,0,0,354.3476563,122.7579956,-0.866210938,22.21594238,2.88655448,1.025210084,1
1,40,0,0,353.3861694,121.3954468,-2.770812988,21.69772339,2.911033154,1.025423729,-1
2,40,0,0,351.2917786,122.0487366,-1.425842285,21.33564758,2.878290892,1.016806723,1
3,40,0,0,356.4538879,124.7567139,0.908203125,20.37838745,2.857192039,1.033333333,-1
4,40,0,0,348.5022583,122.8608398,-2.083282471,20.54217529,2.836560965,1.025210084,0
5,40,0,-5,354.9020996,131.0000305,-41.87069702,20.50001526,2.709175587,1.025423729,-13
6,40,0,-5,357.9935608,132.1935577,-44.00592041,20.10595703,2.708101511,1.034188034,-15
7,40,0,-5,353.0826416,132,-41.80810547,21,2.674868584,0.991803279,-10
8,40,0,-5,359.0267029,131,-37.71118164,21.5,2.74066186,1.016528926,-10
9,40,0,-5,357.2347717,135.7997131,-41.01593018,20.26832581,2.630600452,1.016260163,-13
10,40,0,5,350.8204346,140.7076721,58.46905518,29.11857605,2.493257284,1.025641026,21
11,40,0,5,353.5847473,142.1326294,58.56567383,29.47064209,2.487709999,1.016806723,21
12,40,0,5,351.6734619,139.4419556,57.23675537,30.72097778,2.522006035,1.052173913,18
13,40,0,5,345.9468689,140.1671143,59.02655029,29.78234863,2.468102932,0.991735537,20
14,40,0,5,354.3253479,140.2591858,58.06158447,30.25883484,2.526218414,1,20
15,40,5,0,352.1380005,125.4978333,-47.48864746,26.16288757,2.805928946,1.077586207,-6
16,40,5,0,355.9063721,125.5205994,-47.28927612,25.76811218,2.835441828,1.050420168,-4
17,40,5,0,353.3667297,123.4148254,-48.10305786,27.70741272,2.863243818,1.025,-1
18,40,5,0,355.8089905,123.4741821,-47.59332275,27.73709106,2.881646872,1.060344828,-4
19,40,5,0,355.6743774,127.0829468,-46.83728027,26.3999939,2.798757792,1.058333333,-5
20,40,5,-5,351.3316956,132.9780884,-76.6053009,25.68243408,2.642026901,1.151785714,-21
21,40,5,-5,345.592926,131.0000305,-77.33625793,27.49998474,2.63811326,1.07826087,-17
22,40,5,-5,347.646637,135.2345886,-79.1073761,27.38273621,2.570693254,1.105263158,-22
23,40,5,-5,346.4485474,132.7826843,-78.32394409,28.39134216,2.609139442,1.060344828,-16
24,40,5,-5,345.5983276,134.4076538,-78.56497192,26.79620361,2.571269751,1.095652174,-20
25,40,5,5,352.4456482,139.6375122,5.802429199,29.03771973,2.524003983,1.051282051,16
26,40,5,5,353.170929,137.8025208,5.907958984,28.67683411,2.562877178,1.042372881,15
27,40,5,5,351.4944458,138.0065765,9.105407715,31.0032959,2.54693985,1.115044248,12
28,40,5,5,351.4849854,142.6869049,10.05532837,33.34341431,2.463330269,1.140350877,13
29,40,5,5,348.5230713,138.3194885,7.777923584,28.78663635,2.519695997,1.042372881,15
30,40,5,10,355.6344604,148.4763794,47.38070679,33.2381897,2.395225763,1.096491228,23
31,40,5,10,351.4046326,150.2288055,45.29766846,31.43817139,2.339129448,1.060344828,27
32,40,5,10,349.3286743,149.8335266,48.23617554,31.48814392,2.331445217,1.068376068,25
33,40,5,10,348.4620972,150.2779541,46.76895142,31.347229,2.31878376,1.086956522,25
34,40,5,10,350.6313171,151.0909729,48.00341797,32.05369568,2.320663691,1.086206897,25
35,40,10,5,346.5358582,137.969574,-45.43649292,32.93025208,2.511683226,1.086206897,12
36,40,10,5,348.1364441,139.7696838,-48.0682373,32.86894226,2.490786552,1.094827586,13
37,40,10,5,346.5788574,137.8508911,-47.28939819,32.78170776,2.514157534,1.086206897,12
38,40,10,5,346.4664917,137.1419067,-47.23321533,32.56326294,2.526335716,1.094017094,10
39,40,10,5,343.9347229,138.5198975,-46.96731567,32.52304077,2.482926607,1.068376068,13
40,40,10,10,345.7650146,156.6243896,2.36541748,33.68780518,2.207606554,1.149122807,26
41,40,10,10,341.7342224,153.2714844,4.13293457,33.08782959,2.229600906,1.122807018,25
42,40,10,10,342.2778931,154.8773804,4.861053467,33.30801392,2.209992886,1.094827586,28
43,40,10,10,337.0606689,154.1812286,7.469696045,33.40283203,2.186132908,1.094827586,27
44,40,10,10,341.1149292,156.4281158,5.706298828,34.00494385,2.180649757,1.147826087,25
45,40,10,15,337.7885132,169.1014709,57.10574341,36.38822937,1.997549176,1.112068966,40
46,40,10,15,341.8835449,169.3366394,54.05822754,36.17814636,2.018957853,1.105263158,43
47,40,10,15,349.1729126,171.3967285,55.76998901,37.86599731,2.037220478,1.12173913,42
48,40,10,15,342.1676025,169.0254669,54.91619873,36.45440674,2.024355412,1.132743363,41
49,40,10,15,342.7647095,169.4048462,54.61764526,36.17303467,2.023346424,1.095652174,43
50,40,15,5,327.696991,138.3792725,-83.84849548,23.37069702,2.368107557,1.135135135,12
51,40,15,5,329.7304382,138.2357025,-82.29341125,23.92474365,2.385277033,1.162162162,10
52,40,15,5,327.696991,138.2784882,-83.84849548,23.50616455,2.369833469,1.135135135,12
53,40,15,5,330.6835938,139.0031891,-82.26040649,23.78274536,2.378964186,1.172727273,10
54,40,15,5,328.4092102,137.9503174,-84.20457458,23.73794556,2.380634069,1.145454545,12
55,40,15,10,323.4937439,148.9047394,-46.74685669,22.17047119,2.172487974,1.154545455,22
56,40,15,10,322.9941406,147.9916687,-45.49710083,22.13261414,2.182515621,1.165137615,21
57,40,15,10,321.8928528,149.3980408,-44.94638062,22.67356873,2.154598951,1.163636364,22
58,40,15,10,321.8884277,147.8531647,-45.94421387,21.94400024,2.177081823,1.166666667,21
59,40,15,10,317.9603882,148.4157104,-43.98022461,22.44668579,2.14236331,1.154545455,21
60,40,15,15,318.9031372,161.8547821,5.548461914,22.74264526,1.970304132,1.155963303,36
